odeur,couleur_spore,couleur_lamelles,meurtrissures,type_anneau,population,habitat,classe
piquant,noir,noir,oui,pendant,disperse,urbain,toxique
amande,marron,noir,oui,pendant,nombreux,herbes,comestible
anis,marron,marron,oui,pendant,nombreux,prairies,comestible
piquant,noir,marron,oui,pendant,disperse,urbain,toxique
aucun,marron,noir,non,evanescent,abondant,herbes,comestible
amande,noir,marron,oui,pendant,nombreux,herbes,comestible
amande,noir,gris,oui,pendant,nombreux,prairies,comestible
anis,marron,marron,oui,pendant,disperse,prairies,comestible
piquant,noir,rose,oui,pendant,plusieurs,herbes,toxique
amande,noir,gris,oui,pendant,disperse,prairies,comestible
anis,marron,gris,oui,pendant,nombreux,herbes,comestible
amande,noir,marron,oui,pendant,disperse,prairies,comestible
amande,marron,blanc,oui,pendant,disperse,herbes,comestible
piquant,marron,noir,oui,pendant,plusieurs,urbain,toxique
aucun,noir,marron,non,evanescent,abondant,herbes,comestible
aucun,marron,noir,non,pendant,solitaire,urbain,comestible
aucun,marron,noir,non,evanescent,abondant,herbes,comestible
piquant,noir,marron,oui,pendant,disperse,herbes,toxique
piquant,marron,marron,oui,pendant,disperse,urbain,toxique
piquant,marron,noir,oui,pendant,disperse,urbain,toxique
amande,marron,noir,oui,pendant,disperse,prairies,comestible
piquant,marron,marron,oui,pendant,plusieurs,herbes,toxique
anis,marron,noir,oui,pendant,disperse,prairies,comestible
amande,marron,blanc,oui,pendant,nombreux,prairies,comestible
anis,noir,gris,oui,pendant,disperse,prairies,comestible
piquant,marron,marron,oui,pendant,plusieurs,herbes,toxique
amande,marron,marron,oui,pendant,nombreux,prairies,comestible
anis,marron,blanc,oui,pendant,nombreux,prairies,comestible
aucun,noir,noir,non,pendant,solitaire,urbain,comestible
amande,marron,marron,oui,pendant,plusieurs,forets,comestible
anis,marron,gris,oui,pendant,nombreux,prairies,comestible
piquant,marron,noir,oui,pendant,disperse,urbain,toxique
anis,marron,marron,oui,pendant,nombreux,prairies,comestible
anis,marron,rose,oui,pendant,solitaire,chemins,comestible
anis,marron,marron,oui,pendant,disperse,prairies,comestible
anis,marron,blanc,oui,pendant,plusieurs,forets,comestible
aucun,noir,noir,non,pendant,plusieurs,urbain,comestible
piquant,marron,blanc,oui,pendant,disperse,urbain,toxique
amande,marron,rose,oui,pendant,plusieurs,forets,comestible
anis,noir,noir,oui,pendant,disperse,prairies,comestible
amande,marron,marron,oui,pendant,disperse,herbes,comestible
anis,noir,marron,oui,pendant,solitaire,chemins,comestible
aucun,noir,gris,non,pendant,solitaire,urbain,comestible
piquant,marron,rose,oui,pendant,plusieurs,herbes,toxique
amande,noir,blanc,oui,pendant,nombreux,prairies,comestible
amande,marron,marron,oui,pendant,nombreux,herbes,comestible
anis,noir,noir,oui,pendant,disperse,prairies,comestible
anis,marron,blanc,oui,pendant,nombreux,prairies,comestible
anis,marron,marron,oui,pendant,disperse,chemins,comestible
anis,noir,blanc,oui,pendant,disperse,chemins,comestible
amande,noir,blanc,oui,pendant,disperse,herbes,comestible
anis,noir,noir,oui,pendant,disperse,herbes,comestible
anis,marron,noir,oui,pendant,nombreux,prairies,comestible
piquant,marron,noir,oui,pendant,plusieurs,urbain,toxique
piquant,noir,noir,oui,pendant,plusieurs,urbain,toxique
amande,noir,blanc,oui,pendant,disperse,prairies,comestible
aucun,marron,marron,non,evanescent,abondant,herbes,comestible
amande,marron,blanc,oui,pendant,nombreux,herbes,comestible
anis,noir,noir,oui,pendant,nombreux,herbes,comestible
amande,noir,rose,oui,pendant,solitaire,chemins,comestible
aucun,marron,noir,non,pendant,plusieurs,urbain,comestible
amande,marron,noir,oui,pendant,disperse,prairies,comestible
anis,marron,gris,oui,pendant,disperse,prairies,comestible
anis,marron,gris,oui,pendant,nombreux,prairies,comestible
